time/s	Ewe/V	I/mA
0.00E+00	1.69E+00	-2.29E-01
7.92E+00	1.64E+00	-2.31E-01
7.92E+00	1.64E+00	-2.31E-01
1.89E+02	2.14E+00	0.00E+00
1.89E+02	2.13E+00	0.00E+00
1.89E+02	1.68E+00	0.00E+00
2.09E+02	1.63E+00	-2.31E-01
2.29E+02	1.63E+00	-2.31E-01
2.49E+02	1.47E+00	-2.31E-01
2.69E+02	1.63E+00	-2.31E-01
2.89E+02	1.63E+00	-2.31E-01
3.09E+02	1.63E+00	-2.31E-01
3.29E+02	1.62E+00	-2.31E-01
3.49E+02	1.62E+00	-2.31E-01
3.69E+02	1.60E+00	-2.31E-01
3.89E+02	1.39E+00	-2.31E-01
4.09E+02	1.59E+00	-2.31E-01
4.29E+02	1.56E+00	-2.31E-01
4.49E+02	1.48E+00	-2.31E-01
4.69E+02	1.60E+00	-2.31E-01
4.89E+02	1.59E+00	-2.31E-01
5.09E+02	1.57E+00	-2.31E-01
5.29E+02	1.60E+00	-2.31E-01
5.49E+02	1.60E+00	-2.31E-01
5.69E+02	1.60E+00	-2.31E-01
5.89E+02	1.41E+00	-2.31E-01
6.09E+02	1.41E+00	-2.31E-01
6.29E+02	1.40E+00	-2.31E-01
6.49E+02	9.99E-01	-2.31E-01
6.69E+02	1.58E+00	-2.31E-01
6.89E+02	1.58E+00	-2.31E-01
7.09E+02	1.58E+00	-2.31E-01
7.29E+02	1.57E+00	-2.31E-01
7.49E+02	1.57E+00	-2.31E-01
7.69E+02	1.57E+00	-2.31E-01
7.89E+02	1.57E+00	-2.31E-01
8.09E+02	1.57E+00	-2.31E-01
8.29E+02	1.57E+00	-2.31E-01
8.49E+02	1.57E+00	-2.31E-01
8.69E+02	1.56E+00	-2.31E-01
8.89E+02	1.56E+00	-2.31E-01
9.09E+02	1.56E+00	-2.31E-01
9.29E+02	1.56E+00	-2.31E-01
9.49E+02	1.56E+00	-2.31E-01
9.69E+02	1.55E+00	-2.31E-01
9.89E+02	1.55E+00	-2.31E-01
1.01E+03	1.55E+00	-2.31E-01
1.03E+03	1.55E+00	-2.31E-01
1.05E+03	1.55E+00	-2.31E-01
1.07E+03	1.55E+00	-2.31E-01
1.09E+03	1.54E+00	-2.31E-01
1.11E+03	1.54E+00	-2.31E-01
1.13E+03	1.54E+00	-2.31E-01
1.15E+03	1.54E+00	-2.31E-01
1.17E+03	1.54E+00	-2.31E-01
1.19E+03	1.54E+00	-2.31E-01
1.21E+03	1.54E+00	-2.31E-01
1.23E+03	1.54E+00	-2.31E-01
1.25E+03	1.54E+00	-2.31E-01
1.27E+03	1.54E+00	-2.31E-01
1.29E+03	1.54E+00	-2.31E-01
1.31E+03	1.53E+00	-2.31E-01
1.33E+03	1.53E+00	-2.31E-01
1.35E+03	1.53E+00	-2.31E-01
1.37E+03	1.53E+00	-2.31E-01
1.39E+03	1.54E+00	-2.31E-01
1.41E+03	1.54E+00	-2.31E-01
1.43E+03	1.53E+00	-2.31E-01
1.45E+03	1.53E+00	-2.31E-01
1.47E+03	1.52E+00	-2.31E-01
1.49E+03	1.52E+00	-2.31E-01
1.51E+03	1.52E+00	-2.31E-01
1.53E+03	1.51E+00	-2.31E-01
1.55E+03	1.50E+00	-2.31E-01
1.57E+03	1.47E+00	-2.31E-01
1.59E+03	1.34E+00	-2.31E-01
1.61E+03	1.53E+00	-2.31E-01
1.63E+03	1.53E+00	-2.31E-01
1.65E+03	1.52E+00	-2.31E-01
1.67E+03	1.52E+00	-2.31E-01
1.69E+03	1.52E+00	-2.31E-01
1.71E+03	1.52E+00	-2.31E-01
1.73E+03	1.51E+00	-2.31E-01
1.75E+03	1.51E+00	-2.31E-01
1.77E+03	1.52E+00	-2.31E-01
1.79E+03	1.52E+00	-2.31E-01
1.81E+03	1.53E+00	-2.31E-01
1.83E+03	1.53E+00	-2.31E-01
1.85E+03	1.53E+00	-2.31E-01
1.87E+03	1.53E+00	-2.31E-01
1.89E+03	1.53E+00	-2.31E-01
1.91E+03	1.53E+00	-2.31E-01
1.93E+03	1.53E+00	-2.31E-01
1.95E+03	1.53E+00	-2.31E-01
1.97E+03	1.53E+00	-2.31E-01
1.99E+03	1.53E+00	-2.31E-01
2.01E+03	1.53E+00	-2.31E-01
2.03E+03	1.53E+00	-2.31E-01
2.05E+03	1.52E+00	-2.31E-01
2.07E+03	1.52E+00	-2.31E-01
2.09E+03	1.52E+00	-2.31E-01
2.11E+03	1.52E+00	-2.31E-01
2.13E+03	1.52E+00	-2.31E-01
2.15E+03	1.52E+00	-2.31E-01
2.17E+03	1.51E+00	-2.31E-01
2.19E+03	1.51E+00	-2.31E-01
2.21E+03	1.49E+00	-2.31E-01
2.23E+03	1.43E+00	-2.31E-01
2.25E+03	1.43E+00	-2.31E-01
2.27E+03	1.45E+00	-2.31E-01
2.29E+03	1.46E+00	-2.31E-01
2.31E+03	1.47E+00	-2.31E-01
2.33E+03	1.47E+00	-2.31E-01
2.35E+03	1.48E+00	-2.31E-01
2.37E+03	1.48E+00	-2.31E-01
2.39E+03	1.48E+00	-2.31E-01
2.41E+03	1.48E+00	-2.31E-01
2.43E+03	1.48E+00	-2.31E-01
2.45E+03	1.48E+00	-2.31E-01
2.47E+03	1.49E+00	-2.31E-01
2.49E+03	1.48E+00	-2.31E-01
2.51E+03	1.48E+00	-2.31E-01
2.53E+03	1.49E+00	-2.31E-01
2.55E+03	1.49E+00	-2.31E-01
2.57E+03	1.49E+00	-2.31E-01
2.59E+03	1.50E+00	-2.31E-01
2.61E+03	1.50E+00	-2.31E-01
2.63E+03	1.50E+00	-2.31E-01
2.65E+03	1.50E+00	-2.31E-01
2.67E+03	1.50E+00	-2.31E-01
2.69E+03	1.50E+00	-2.31E-01
2.71E+03	1.50E+00	-2.31E-01
2.73E+03	1.50E+00	-2.31E-01
2.75E+03	1.50E+00	-2.31E-01
2.77E+03	1.50E+00	-2.31E-01
2.79E+03	1.49E+00	-2.31E-01
2.81E+03	1.48E+00	-2.31E-01
2.83E+03	1.48E+00	-2.31E-01
2.85E+03	1.47E+00	-2.31E-01
2.87E+03	1.47E+00	-2.31E-01
2.89E+03	1.47E+00	-2.31E-01
2.91E+03	1.47E+00	-2.31E-01
