time/s	Ewe/V	I/mA	
0.000000000000000E+000	5.2689284E-001	-1.6472558E+000
5.999999848427251E+001	4.9947059E-001	-4.7947124E-001
1.199999969685450E+002	4.9935609E-001	-4.5490590E-001
1.799999954528175E+002	4.9935609E-001	-4.4013235E-001
2.399999939370900E+002	4.9939427E-001	-4.2297927E-001
2.999999924213625E+002	4.9935609E-001	-4.1015258E-001
3.599999909056351E+002	4.9945152E-001	-3.9580533E-001
4.199999893899076E+002	4.9933702E-001	-3.8661799E-001
4.799999878741801E+002	4.9950877E-001	-3.7761518E-001
5.399999863584526E+002	4.9941334E-001	-3.6695176E-001
5.999999848427251E+002	4.9945152E-001	-3.6237082E-001
6.599999833269976E+002	4.9933702E-001	-3.5511768E-001
7.199999818112701E+002	4.9945152E-001	-3.4771177E-001
7.799999802955426E+002	4.9939427E-001	-3.3772916E-001
8.399999787798151E+002	4.9941334E-001	-3.3307186E-001
8.999999772640876E+002	4.9948969E-001	-3.2704028E-001
9.599999757483602E+002	4.9947059E-001	-3.1781477E-001
1.019999974232633E+003	4.9937519E-001	-3.1184044E-001
1.079999972716905E+003	4.9929884E-001	-3.0706227E-001
1.139999971201178E+003	4.9939427E-001	-2.9959914E-001
1.199999969685450E+003	4.9941334E-001	-2.9663426E-001
1.259999968169723E+003	4.9945152E-001	-2.9237145E-001
1.288357767453344E+003	4.9948969E-001	-2.9043087E-001
1.288357967453339E+003	4.9937519E-001	-2.9046908E-001
1.306535766994130E+003	1.0059199E+000	0.0000000E+000
1.306583966992912E+003	1.0054429E+000	0.0000000E+000
1.366583965477184E+003	4.9955353E-001	-2.8900570E-001
1.426583963961457E+003	4.9957263E-001	-2.8493375E-001
1.486583962445729E+003	4.9953446E-001	-2.8236333E-001
1.546583960930002E+003	4.9951538E-001	-2.7331597E-001
1.606583959414274E+003	4.9964896E-001	-2.7355775E-001
1.666583957898547E+003	4.9953446E-001	-2.6876685E-001
1.726583956382819E+003	4.9957263E-001	-2.6269710E-001
1.786583954867092E+003	4.9947721E-001	-2.5976399E-001
1.846583953351364E+003	4.9949631E-001	-2.5661460E-001
1.906583951835637E+003	4.9955353E-001	-2.5427958E-001
1.966583950319909E+003	4.9959171E-001	-2.5011858E-001
2.026583948804182E+003	4.9951538E-001	-2.4785355E-001
2.086583947288455E+003	4.9949631E-001	-2.4902424E-001
2.146583945772727E+003	4.9949631E-001	-2.4397883E-001
2.206583944257000E+003	4.9957263E-001	-2.4175198E-001
2.266583942741272E+003	4.9961078E-001	-2.4094395E-001
2.326583941225545E+003	4.9962988E-001	-2.3811904E-001
2.386583939709817E+003	4.9945813E-001	-2.3557407E-001
2.446583938194090E+003	4.9955353E-001	-2.3411708E-001
2.506583936678362E+003	4.9955353E-001	-2.3411708E-001
2.566583935162635E+003	4.9940088E-001	-2.3024872E-001
2.597480534382121E+003	4.9957263E-001	-2.2818094E-001
2.597480734382116E+003	4.9940088E-001	-2.2812368E-001
2.604696334199834E+003	9.4082791E-001	0.0000000E+000
2.604744534198617E+003	9.4010276E-001	0.0000000E+000
2.647030933130372E+003	4.9957263E-001	-2.2789463E-001
2.647031133130367E+003	4.9957263E-001	-2.2792643E-001
2.649896933057971E+003	9.3342376E-001	0.0000000E+000
2.649945133056754E+003	9.3315655E-001	0.0000000E+000
2.649948933056658E+003	4.9941996E-001	-3.2620677E-001
2.649949133056653E+003	4.9928638E-001	-3.1582329E-001
2.650047733054162E+003	8.9327317E-001	0.0000000E+000
2.650049933054106E+003	1.0494079E+001	3.5538284E+001
2.650050133054101E+003	1.0494079E+001	3.4468922E+001
2.650148533051615E+003	9.9599016E-001	0.0000000E+000
2.650152533051514E+003	2.9998345E+000	2.4883451E+000
