time/s	Ewe/V	I/mA
0.00E+00	2.08E+00	-4.60E-01
2.00E+01	2.00E+00	-4.63E-01
4.00E+01	1.98E+00	-4.63E-01
6.00E+01	1.97E+00	-4.63E-01
8.00E+01	1.95E+00	-4.63E-01
1.00E+02	1.94E+00	-4.63E-01
1.20E+02	1.93E+00	-4.63E-01
1.40E+02	1.92E+00	-4.63E-01
1.60E+02	1.91E+00	-4.63E-01
1.80E+02	1.89E+00	-4.63E-01
2.00E+02	1.86E+00	-4.63E-01
2.20E+02	1.83E+00	-4.63E-01
2.40E+02	1.83E+00	-4.63E-01
2.60E+02	1.83E+00	-4.63E-01
2.80E+02	1.83E+00	-4.63E-01
3.00E+02	1.83E+00	-4.63E-01
3.20E+02	1.83E+00	-4.63E-01
3.40E+02	1.83E+00	-4.63E-01
3.60E+02	1.83E+00	-4.63E-01
3.80E+02	1.83E+00	-4.63E-01
4.00E+02	1.83E+00	-4.63E-01
4.20E+02	1.82E+00	-4.63E-01
4.40E+02	1.82E+00	-4.63E-01
4.60E+02	1.82E+00	-4.63E-01
4.80E+02	1.82E+00	-4.63E-01
5.00E+02	1.81E+00	-4.63E-01
5.20E+02	1.81E+00	-4.63E-01
5.40E+02	1.81E+00	-4.63E-01
5.60E+02	1.81E+00	-4.63E-01
5.80E+02	1.80E+00	-4.63E-01
6.00E+02	1.80E+00	-4.63E-01
6.20E+02	1.80E+00	-4.63E-01
6.40E+02	1.80E+00	-4.63E-01
6.60E+02	1.79E+00	-4.63E-01
6.80E+02	1.79E+00	-4.63E-01
7.00E+02	1.79E+00	-4.63E-01
7.20E+02	1.79E+00	-4.63E-01
7.40E+02	1.78E+00	-4.63E-01
7.60E+02	1.78E+00	-4.63E-01
7.80E+02	1.78E+00	-4.63E-01
8.00E+02	1.77E+00	-4.63E-01
8.20E+02	1.77E+00	-4.63E-01
8.40E+02	1.77E+00	-4.63E-01
8.60E+02	1.77E+00	-4.63E-01
8.80E+02	1.77E+00	-4.63E-01
9.00E+02	1.77E+00	-4.63E-01
9.20E+02	1.76E+00	-4.63E-01
9.40E+02	1.76E+00	-4.63E-01
9.60E+02	1.76E+00	-4.63E-01
9.80E+02	1.76E+00	-4.63E-01
1.00E+03	1.75E+00	-4.63E-01
1.02E+03	1.75E+00	-4.63E-01
1.04E+03	1.75E+00	-4.63E-01
1.06E+03	1.75E+00	-4.63E-01
1.08E+03	1.75E+00	-4.63E-01
1.10E+03	1.74E+00	-4.63E-01
1.12E+03	1.74E+00	-4.63E-01
1.14E+03	1.74E+00	-4.63E-01
1.16E+03	1.74E+00	-4.63E-01
1.18E+03	1.73E+00	-4.63E-01
1.20E+03	1.73E+00	-4.63E-01
1.22E+03	1.73E+00	-4.63E-01
1.24E+03	1.73E+00	-4.63E-01
1.26E+03	1.73E+00	-4.63E-01
1.28E+03	1.73E+00	-4.63E-01
1.30E+03	1.72E+00	-4.63E-01
1.32E+03	1.72E+00	-4.63E-01
1.34E+03	1.72E+00	-4.63E-01
1.36E+03	1.72E+00	-4.63E-01
1.38E+03	1.72E+00	-4.63E-01
1.40E+03	1.71E+00	-4.63E-01
1.42E+03	1.71E+00	-4.63E-01
1.44E+03	1.71E+00	-4.63E-01
1.46E+03	1.71E+00	-4.63E-01
1.48E+03	1.71E+00	-4.63E-01
1.50E+03	1.70E+00	-4.63E-01
1.52E+03	1.70E+00	-4.63E-01
1.54E+03	1.70E+00	-4.63E-01
1.56E+03	1.70E+00	-4.63E-01
1.58E+03	1.70E+00	-4.63E-01
1.60E+03	1.70E+00	-4.63E-01
1.62E+03	1.69E+00	-4.63E-01
1.64E+03	1.69E+00	-4.63E-01
1.66E+03	1.69E+00	-4.63E-01
1.68E+03	1.69E+00	-4.63E-01
1.70E+03	1.69E+00	-4.63E-01
1.72E+03	1.69E+00	-4.63E-01
1.74E+03	1.68E+00	-4.63E-01
