time/s	Ewe/V	I/mA
0.00E+00	3.04E+00	-2.29E-01
1.92E+01	2.02E+00	-2.31E-01
1.92E+01	2.02E+00	-2.31E-01
1.29E+03	3.10E+00	0.00E+00
1.29E+03	3.10E+00	0.00E+00
1.29E+03	3.10E+00	0.00E+00
1.30E+03	2.56E+00	-2.31E-01
1.31E+03	2.29E+00	-2.31E-01
1.32E+03	2.12E+00	-2.31E-01
1.33E+03	2.02E+00	-2.31E-01
1.34E+03	1.93E+00	-2.31E-01
1.35E+03	1.89E+00	-2.31E-01
1.36E+03	1.87E+00	-2.31E-01
1.37E+03	1.82E+00	-2.31E-01
1.38E+03	1.80E+00	-2.31E-01
1.39E+03	1.76E+00	-2.31E-01
1.40E+03	1.74E+00	-2.31E-01
1.41E+03	1.71E+00	-2.31E-01
1.42E+03	1.67E+00	-2.31E-01
1.43E+03	1.66E+00	-2.31E-01
1.44E+03	1.65E+00	-2.31E-01
1.45E+03	1.62E+00	-2.31E-01
1.46E+03	1.62E+00	-2.31E-01
1.47E+03	1.62E+00	-2.31E-01
1.48E+03	1.62E+00	-2.31E-01
1.49E+03	1.58E+00	-2.31E-01
1.50E+03	1.57E+00	-2.31E-01
1.51E+03	1.55E+00	-2.31E-01
1.52E+03	1.54E+00	-2.31E-01
1.53E+03	1.55E+00	-2.31E-01
1.54E+03	1.54E+00	-2.31E-01
1.55E+03	1.52E+00	-2.31E-01
1.56E+03	1.52E+00	-2.31E-01
1.57E+03	1.51E+00	-2.31E-01
1.58E+03	1.50E+00	-2.31E-01
1.59E+03	1.49E+00	-2.31E-01
1.60E+03	1.49E+00	-2.31E-01
1.61E+03	1.49E+00	-2.31E-01
1.62E+03	1.49E+00	-2.31E-01
1.63E+03	1.47E+00	-2.31E-01
1.64E+03	1.47E+00	-2.31E-01
1.65E+03	1.48E+00	-2.31E-01
1.66E+03	1.46E+00	-2.31E-01
1.67E+03	1.46E+00	-2.31E-01
1.68E+03	1.45E+00	-2.31E-01
1.69E+03	1.44E+00	-2.31E-01
1.70E+03	1.45E+00	-2.31E-01
1.71E+03	1.46E+00	-2.31E-01
1.72E+03	1.44E+00	-2.31E-01
1.73E+03	1.43E+00	-2.31E-01
1.74E+03	1.44E+00	-2.31E-01
1.75E+03	1.43E+00	-2.31E-01
1.76E+03	1.42E+00	-2.31E-01
1.77E+03	1.42E+00	-2.31E-01
1.78E+03	1.42E+00	-2.31E-01
1.79E+03	1.41E+00	-2.31E-01
1.80E+03	1.39E+00	-2.31E-01
1.81E+03	1.40E+00	-2.31E-01
