time/s	Ewe/V	I/mA
0.000000000000000E+000	1.4563142E+000	-2.29E-01
9.999999747378752E+000	1.2372751E+000	-2.31E-01
1.832359953710693E+001	1.2545071E+000	-2.31E-01
1.832379953710188E+001	1.2545071E+000	-2.31E-01
1.755719955646782E+002	1.4783883E+000	0.0000000E+000
1.755721955646732E+002	1.4782737E+000	0.0000000E+000
1.756203955634555E+002	1.4778731E+000	0.0000000E+000
1.856203953108343E+002	1.2400994E+000	-2.31E-01
1.956203950582130E+002	1.2381530E+000	-2.31E-01
2.056203948055918E+002	1.2411489E+000	-2.31E-01
2.156203945529705E+002	1.2556329E+000	-2.31E-01
2.256203943003493E+002	1.2420650E+000	-2.31E-01
2.356203940477280E+002	1.2423321E+000	-2.31E-01
2.456203937951068E+002	1.2502706E+000	-2.31E-01
2.556203935424855E+002	1.2514347E+000	-2.31E-01
2.656203932898643E+002	1.2515682E+000	-2.31E-01
2.756203930372430E+002	1.2551367E+000	-2.31E-01
2.856203927846218E+002	1.2553467E+000	-2.31E-01
2.956203925320006E+002	1.2544880E+000	-2.31E-01
3.056203922793793E+002	1.2542017E+000	-2.31E-01
3.156203920267581E+002	1.2533811E+000	-2.31E-01
3.256203917741368E+002	1.2554612E+000	-2.31E-01
3.356203915215156E+002	1.2542971E+000	-2.31E-01
3.456203912688943E+002	1.2566825E+000	-2.31E-01
3.556203910162731E+002	1.2587816E+000	-2.31E-01
3.656203907636518E+002	1.2579610E+000	-2.31E-01
3.756203905110306E+002	1.2544307E+000	-2.31E-01
3.856203902584093E+002	1.2488203E+000	-2.31E-01
3.956203900057881E+002	1.2470456E+000	-2.31E-01
4.056203897531668E+002	1.2480189E+000	-2.31E-01
4.156203895005456E+002	1.2481714E+000	-2.31E-01
4.256203892479243E+002	1.2478471E+000	-2.31E-01
4.356203889953031E+002	1.2478089E+000	-2.31E-01
4.456203887426818E+002	1.2475418E+000	-2.31E-01
4.556203884900606E+002	1.2471410E+000	-2.31E-01
4.656203882374393E+002	1.2471410E+000	-2.31E-01
4.756203879848181E+002	1.2468929E+000	-2.31E-01
4.856203877321968E+002	1.2466067E+000	-2.31E-01
4.956203874795756E+002	1.2465876E+000	-2.31E-01
5.056203872269543E+002	1.2459388E+000	-2.31E-01
5.156203869743331E+002	1.2457479E+000	-2.31E-01
5.256203867217118E+002	1.2453281E+000	-2.31E-01
5.356203864690906E+002	1.2448128E+000	-2.31E-01
5.456203862164693E+002	1.2446603E+000	-2.31E-01
5.556203859638481E+002	1.2443167E+000	-2.31E-01
5.656203857112268E+002	1.2437824E+000	-2.31E-01
5.756203854586056E+002	1.2434771E+000	-2.31E-01
5.856203852059843E+002	1.2431145E+000	-2.31E-01
5.956203849533631E+002	1.2423702E+000	-2.31E-01
6.056203847007419E+002	1.2421412E+000	-2.31E-01
6.156203844481206E+002	1.2419313E+000	-2.31E-01
6.256203841954994E+002	1.2414542E+000	-2.31E-01
6.356203839428781E+002	1.2409962E+000	-2.31E-01
6.456203836902569E+002	1.2411680E+000	-2.31E-01
6.556203834376356E+002	1.2408055E+000	-2.31E-01
6.656203831850144E+002	1.2406528E+000	-2.31E-01
6.756203829323931E+002	1.2401185E+000	-2.31E-01
6.856203826797719E+002	1.2399849E+000	-2.31E-01
6.956203824271506E+002	1.2397177E+000	-2.31E-01
7.056203821745294E+002	1.2392979E+000	-2.31E-01
7.156203819219081E+002	1.2389926E+000	-2.31E-01
7.256203816692869E+002	1.2387064E+000	-2.31E-01
7.356203814166656E+002	1.2384392E+000	-2.31E-01
7.456203811640444E+002	1.2379431E+000	-2.31E-01
7.556203809114231E+002	1.2397368E+000	-2.31E-01
7.656203806588019E+002	1.2398704E+000	-2.31E-01
7.756203804061806E+002	1.2395269E+000	-2.31E-01
7.856203801535594E+002	1.2392025E+000	-2.31E-01
7.956203799009381E+002	1.2388208E+000	-2.31E-01
8.056203796483169E+002	1.2384201E+000	-2.31E-01
8.156203793956956E+002	1.2382293E+000	-2.31E-01
8.256203791430744E+002	1.2379812E+000	-2.31E-01
8.356203788904531E+002	1.2378094E+000	-2.31E-01
8.456203786378319E+002	1.2376186E+000	-2.31E-01
8.556203783852106E+002	1.2377331E+000	-2.31E-01
8.656203781325894E+002	1.2369125E+000	-2.31E-01
8.756203778799681E+002	1.2365118E+000	-2.31E-01
8.856203776273469E+002	1.2358820E+000	-2.31E-01
8.956203773747256E+002	1.2348897E+000	-2.31E-01
9.056203771221044E+002	1.2340119E+000	-2.31E-01
9.156203768694832E+002	1.2335348E+000	-2.31E-01
9.256203766168619E+002	1.2328287E+000	-2.31E-01
9.356203763642407E+002	1.2316839E+000	-2.31E-01
9.456203761116194E+002	1.2306151E+000	-2.31E-01
9.556203758589982E+002	1.2299855E+000	-2.31E-01
9.656203756063769E+002	1.2296038E+000	-2.31E-01
9.756203753537557E+002	1.2292794E+000	-2.31E-01
9.856203751011344E+002	1.2288214E+000	-2.31E-01
9.956203748485132E+002	1.2281153E+000	-2.31E-01
1.005620374595892E+003	1.2278291E+000	-2.31E-01
1.015620374343271E+003	1.2274092E+000	-2.31E-01
1.025620374090649E+003	1.2271421E+000	-2.31E-01
1.035620373838028E+003	1.2265695E+000	-2.31E-01
1.045620373585407E+003	1.2261115E+000	-2.31E-01
1.055620373332786E+003	1.2259399E+000	-2.31E-01
1.065620373080164E+003	1.2252719E+000	-2.31E-01
1.075620372827543E+003	1.2249857E+000	-2.31E-01
1.085620372574922E+003	1.2245849E+000	-2.31E-01
1.095620372322301E+003	1.2242032E+000	-2.31E-01
1.105620372069679E+003	1.2238979E+000	-2.31E-01
1.115620371817058E+003	1.2236117E+000	-2.31E-01
1.125620371564437E+003	1.2232683E+000	-2.31E-01
1.135620371311816E+003	1.2231156E+000	-2.31E-01
1.145620371059194E+003	1.2228293E+000	-2.31E-01
1.155620370806573E+003	1.2221233E+000	-2.31E-01
1.165620370553952E+003	1.2217797E+000	-2.31E-01
1.175620370301331E+003	1.2213026E+000	-2.31E-01
1.185620370048709E+003	1.2209783E+000	-2.31E-01
1.195620369796088E+003	1.2209783E+000	-2.31E-01
1.205620369543467E+003	1.2204440E+000	-2.31E-01
1.215620369290846E+003	1.2200813E+000	-2.31E-01
1.225620369038224E+003	1.2197951E+000	-2.31E-01
1.235620368785603E+003	1.2192227E+000	-2.31E-01
1.245620368532982E+003	1.2188600E+000	-2.31E-01
1.255620368280361E+003	1.2186120E+000	-2.31E-01
1.265620368027739E+003	1.2182304E+000	-2.31E-01
1.275620367775118E+003	1.2177724E+000	-2.31E-01
1.285620367522497E+003	1.2174670E+000	-2.31E-01
1.295620367269876E+003	1.2172379E+000	-2.31E-01
1.305620367017254E+003	1.2167037E+000	-2.31E-01
1.315620366764633E+003	1.2162647E+000	-2.31E-01
1.325620366512012E+003	1.2161503E+000	-2.31E-01
1.335620366259391E+003	1.2156351E+000	-2.31E-01
1.345620366006769E+003	1.2153488E+000	-2.31E-01
1.355620365754148E+003	1.2148908E+000	-2.31E-01
1.365620365501527E+003	1.2143756E+000	-2.31E-01
1.375620365248906E+003	1.2139558E+000	-2.31E-01
1.385620364996284E+003	1.2139367E+000	-2.31E-01
1.395620364743663E+003	1.2134405E+000	-2.31E-01
1.405620364491042E+003	1.2128680E+000	-2.31E-01
1.415620364238421E+003	1.2125627E+000	-2.31E-01
1.425620363985799E+003	1.2121619E+000	-2.31E-01
1.435620363733178E+003	1.2119329E+000	-2.31E-01
1.445620363480557E+003	1.2115322E+000	-2.31E-01
1.455620363227936E+003	1.2114177E+000	-2.31E-01
1.465620362975314E+003	1.2109025E+000	-2.31E-01
1.475620362722693E+003	1.2105590E+000	-2.31E-01
1.485620362470072E+003	1.2104254E+000	-2.31E-01
1.495620362217451E+003	1.2100819E+000	-2.31E-01
1.505620361964830E+003	1.2096812E+000	-2.31E-01
1.515620361712208E+003	1.2092804E+000	-2.31E-01
1.525620361459587E+003	1.2088414E+000	-2.31E-01
1.535620361206966E+003	1.2084408E+000	-2.31E-01
1.545620360954345E+003	1.2081546E+000	-2.31E-01
1.555620360701723E+003	1.2080972E+000	-2.31E-01
1.565620360449102E+003	1.2076011E+000	-2.31E-01
1.575620360196481E+003	1.2071813E+000	-2.31E-01
1.585620359943860E+003	1.2069333E+000	-2.31E-01
1.595620359691238E+003	1.2067424E+000	-2.31E-01
1.605620359438617E+003	1.2064753E+000	-2.31E-01
1.615620359185996E+003	1.2060935E+000	-2.31E-01
1.625620358933375E+003	1.2059027E+000	-2.31E-01
1.635620358680753E+003	1.2053875E+000	-2.31E-01
1.645620358428132E+003	1.2051203E+000	-2.31E-01
1.655620358175511E+003	1.2047769E+000	-2.31E-01
1.665620357922890E+003	1.2044524E+000	-2.31E-01
1.675620357670268E+003	1.2041090E+000	-2.31E-01
1.685620357417647E+003	1.2038418E+000	-2.31E-01
1.695620357165026E+003	1.2032883E+000	-2.31E-01
1.705620356912405E+003	1.2030593E+000	-2.31E-01
1.715620356659783E+003	1.2026014E+000	-2.31E-01
1.725620356407162E+003	1.2022579E+000	-2.31E-01
1.735620356154541E+003	1.2020479E+000	-2.31E-01
1.745620355901920E+003	1.2017045E+000	-2.31E-01
1.755620355649298E+003	1.2013419E+000	-2.31E-01
1.765620355396677E+003	1.2010556E+000	-2.31E-01
1.775620355144056E+003	1.2006931E+000	-2.31E-01
1.785620354891435E+003	1.2005976E+000	-2.31E-01
1.795620354638813E+003	1.2003496E+000	-2.31E-01
1.805620354386192E+003	1.2002161E+000	-2.31E-01
1.815620354133571E+003	1.1997581E+000	-2.31E-01
1.825620353880950E+003	1.1992046E+000	-2.31E-01
1.835620353628328E+003	1.1990138E+000	-2.31E-01
1.845620353375707E+003	1.1985940E+000	-2.31E-01
1.855620353123086E+003	1.1984794E+000	-2.31E-01
1.865620352870465E+003	1.1981932E+000	-2.31E-01
1.875620352617843E+003	1.1980214E+000	-2.31E-01
1.885620352365222E+003	1.1974871E+000	-2.31E-01
1.895620352112601E+003	1.1971627E+000	-2.31E-01
1.905620351859980E+003	1.1967810E+000	-2.31E-01
1.915620351607358E+003	1.1963421E+000	-2.31E-01
1.925620351354737E+003	1.1959987E+000	-2.31E-01
1.935620351102116E+003	1.1956552E+000	-2.31E-01
1.945620350849495E+003	1.1953307E+000	-2.31E-01
1.955620350596873E+003	1.1949873E+000	-2.31E-01
1.965620350344252E+003	1.1944530E+000	-2.31E-01
1.975620350091631E+003	1.1941667E+000	-2.31E-01
1.985620349839010E+003	1.1938423E+000	-2.31E-01
